artist,title,start_date,end_date,low_estimate,high_estimate,price,auction_site,year,artwork_type,edition,height_cm,width_cm,currency,low_estimate_USD,high_estimate_USD,price_USD
Pablo Picasso,Buste d'homme,2024-11-19T22:00:00,2024-11-19T22:00:00,3000000.0,5000000.0,3085000.0,Phillips,1964.0,oil,,73.0,53.3,$,3000000.0,5000000.0,3085000.0
Pablo Picasso,Homme à la coupe assis,2024-11-20T15:00:00,2024-11-20T15:00:00,350000.0,550000.0,381000.0,Phillips,1966.0,crayon,,60.3,49.5,$,350000.0,550000.0,381000.0
Pablo Picasso,"Pismo (lettre), from Escrito (Bl. 462, Ba. 785, see C. Bks. 48)",2025-01-23T17:00:00,2025-01-24T18:00:00,2000.0,3000.0,6096.0,Phillips,1947.0,Etching,64.0,33.0,20.5,£,2470.78,3706.17,7530.95
Pablo Picasso,Homme à la coupe assis,2024-11-20T15:00:00,2024-11-20T15:00:00,350000.0,550000.0,381000.0,Phillips,1966.0,crayon,,60.3,49.5,$,350000.0,550000.0,381000.0
Pablo Picasso,Buste d'homme,2024-11-19T22:00:00,2024-11-19T22:00:00,3000000.0,5000000.0,3085000.0,Phillips,1964.0,oil,,73.0,53.3,$,3000000.0,5000000.0,3085000.0
Pablo Picasso,Homme à la coupe assis,2024-11-20T15:00:00,2024-11-20T15:00:00,350000.0,550000.0,381000.0,Phillips,1966.0,crayon,,60.3,49.5,$,350000.0,550000.0,381000.0
Pablo Picasso,"Jeune femme laissant tomber sa robe (Young Woman Dropping Her Dress), plate 172 from 374 Series (Bl. 1652, Ba. 1668)",2024-10-22T20:00:00,2024-10-24T22:00:00,5000.0,7000.0,6350.0,Phillips,1968.0,Aquatint,,21.0,14.6,$,5000.0,7000.0,6350.0
Pablo Picasso,"Tête de femme: Madeleine, from La Suite des Saltimbanques (Woman's Head: Madeleine, from The Acrobats Suite) (Bl. 2, Ba. 3)",2024-10-22T20:00:00,2024-10-24T22:00:00,5000.0,7000.0,4826.0,Phillips,1905.0,Etching,250.0,11.7,8.6,$,5000.0,7000.0,4826.0
Pablo Picasso,"Tête de femme: Madeleine, from La Suite des Saltimbanques (Woman's Head: Madeleine, from The Acrobats Suite) (Bl. 2, Ba. 3)",2024-10-22T20:00:00,2024-10-24T22:00:00,5000.0,7000.0,4826.0,Phillips,1905.0,Etching,250.0,11.7,8.6,$,5000.0,7000.0,4826.0
Pablo Picasso,"Deux femmes accroupies (Two Women Crouching) (Bl. 790, M. 274)",2024-10-22T20:00:00,2024-10-24T22:00:00,5000.0,7000.0,8255.0,Phillips,1956.0,Lithograph,,41.0,54.3,$,5000.0,7000.0,8255.0
Pablo Picasso,"Jeune femme laissant tomber sa robe (Young Woman Dropping Her Dress), plate 172 from 374 Series (Bl. 1652, Ba. 1668)",2024-10-22T20:00:00,2024-10-24T22:00:00,5000.0,7000.0,6350.0,Phillips,1968.0,Aquatint,,21.0,14.6,$,5000.0,7000.0,6350.0
Pablo Picasso,"Colombe volant (à l'Arc-en-ciel) (Flying Dove in a Rainbow) (Bl. 712, see M. 214)",2024-10-22T20:00:00,2024-10-24T22:00:00,4000.0,6000.0,10795.0,Phillips,1952.0,Lithograph,,49.8,64.8,$,4000.0,6000.0,10795.0
Pablo Picasso,"Le Viol II (The Rape II), plate 30 from La Suite Vollard (Bl. 180, Ba. 338)",2024-10-22T20:00:00,2024-10-24T22:00:00,4000.0,6000.0,6985.0,Phillips,1933.0,Etching,50.0,29.2,36.2,$,4000.0,6000.0,6985.0
Pablo Picasso,"Grosse courtisane saluée par trois gentilshommes linéaires (Fat Courtesan Greeted by Three Linear Gentlemen), plate 183 from Series 347 (Bl. 1663, Ba. 1679)",2024-10-22T20:00:00,2024-10-24T22:00:00,2000.0,3000.0,5334.0,Phillips,1968.0,Etching,,20.6,14.6,$,2000.0,3000.0,5334.0
