artist,title,end_date,estimate_USD,price_USD,auction_site,year,artwork_type,edition,height_cm,width_cm,start_date,low_estimate,high_estimate,price,currency,low_estimate_USD,high_estimate_USD,estimateCurrency,type
Pablo_Picasso,Femme assise au chapeau,2011-05-04T00:00:00,"USD 3,000,000 - 4,000,000",4338500.0,Christies,1961.0,oil on canvas,,116.0,89.0,,,,,,,,,Oil Painting
Pablo_Picasso,"Les femmes d'Alger, version L",2011-05-04T00:00:00,"USD 20,000,000 - 30,000,000",21362500.0,Christies,1955.0,oil on canvas,,130.0,97.0,,,,,,,,,Oil Painting
Pablo_Picasso,Femme assise,2011-11-01T00:00:00,"USD 4,000,000 - 6,000,000",5122500.0,Christies,1938.0,oil on canvas,,69.0,48.9,,,,,,,,,Oil Painting
Pablo_Picasso,Guéridon devant une fenêtre aux volets fermés,2011-11-01T00:00:00,"USD 800,000 - 1,200,000",1538500.0,Christies,1919.0,oil on canvas,,22.2,11.4,,,,,,,,,Oil Painting
Pablo_Picasso,Mousquetaire buste,2011-11-01T00:00:00,"USD 1,000,000 - 1,500,000",1650500.0,Christies,1968.0,oil on panel,,92.0,36.5,,,,,,,,,Oil Painting
Pablo_Picasso,Buste de Françoise,2011-06-21T00:00:00,"GBP 7,000,000 - 10,000,000",17280220.0,Christies,1946.0,oil on board,,99.6,80.6,,,,,,,,,Oil Painting
Pablo_Picasso,Paysage,2011-06-21T00:00:00,"GBP 550,000 - 850,000",1788083.0,Christies,1933.0,oil on canvas,,27.3,35.2,,,,,,,,,Oil Painting
Pablo_Picasso,Jeune fille endormie,2011-06-21T00:00:00,"GBP 9,000,000 - 12,000,000",21810085.0,Christies,1935.0,oil on canvas,,46.3,55.0,,,,,,,,,Oil Painting
Pablo_Picasso,Le pot de fleurs sur fond noir,2011-06-21T00:00:00,"GBP 800,000 - 1,200,000",3690626.0,Christies,1932.0,oil on canvas,,65.0,50.2,,,,,,,,,Oil Painting
Pablo_Picasso,"Femme assise, robe bleue",2011-06-21T00:00:00,"GBP 4,000,000 - 8,000,000",29057868.0,Christies,1939.0,oil on canvas,,73.0,60.0,,,,,,,,,Oil Painting
Pablo_Picasso,Deux nus couchés,2012-05-01T00:00:00,"USD 8,000,000 - 12,000,000",8818500.0,Christies,1968.0,oil on canvas,,195.0,130.0,,,,,,,,,Oil Painting
Pablo_Picasso,Femme dans l'atelier,2012-05-01T00:00:00,"USD 3,000,000 - 5,000,000",4114500.0,Christies,1956.0,oil on canvas,,73.0,92.0,,,,,,,,,Oil Painting
