artist,title,end_date,estimate_USD,price_USD,auction_site,year,artwork_type,edition,height_cm,width_cm,start_date,low_estimate,high_estimate,price,currency,low_estimate_USD,high_estimate_USD,estimateCurrency,type
Pablo_Picasso,Bouquet de fleurs,2011-12-01T00:00:00,"EUR 10,000 - 15,000",18320.0,Christies,,aquarelle sur papier,,14.0,10.8,,,,,,,,,Watercolor Painting
Pablo_Picasso,Mendiant,2012-11-08T00:00:00,"USD 200,000 - 300,000",242500.0,Christies,1904.0,watercolor on paper laid down on card,,37.3,26.8,,,,,,,,,Watercolor Painting
Pablo_Picasso,Bouquet de fleurs,2014-06-27T00:00:00,"GBP 8,000 - 12,000",32910.0,Christies,1927.0,watercolour on invitation card,,14.0,10.8,,,,,,,,,Watercolor Painting
Pablo_Picasso,Poire et pommes,2016-03-31T00:00:00,"EUR 160,000 - 200,000",218500.0,Christies,1909.0,watercolour on laid paper,,24.5,31.7,,,,,,,,,Watercolor Painting
Pablo_Picasso,Femme nue se coiffant,2011-02-09T00:00:00,"GBP 250,000 - 350,000",369758.0,Christies,1906.0,watercolour on buff paper,,40.8,26.4,,,,,,,,,Watercolor Painting
Pablo_Picasso,Nature mort e,2021-12-31T00:00:00,Estimate on request,,Christies,1922.0,watercolor on paper,,12.1,16.4,,,,,,,,,Watercolor Painting
Pablo_Picasso,Cheval,2010-02-03T00:00:00,"GBP 80,000 - 120,000",309046.0,Christies,1967.0,watercolour and wash on paper,,55.88,74.61,,,,,,,,,Watercolor Painting
Pablo_Picasso,Garçon debout,2024-10-18T00:00:00,"EUR 150,000 - 250,000",164240.0,Christies,1926.0,"garçon debout<br> signé, daté et inscrit ‘pour mr andré level son ami picasso décembre 1926’ (en haut à droite)<br> aquarelle sur papier<br> 26 x 21 cm.<br> exécuté en décembre 1926<br><br>signed, dated and inscribed ‘pour mr andré level son ami picasso décembre 1926’ (upper right)<br>watercolour on paper",,26.0,21.0,,,,,,,,,Watercolor Painting
Pablo_Picasso,Paysage de Ménerbes,2019-03-28T00:00:00,"EUR 70,000 - 100,000",211403.0,Christies,1946.0,watercolour on paper,,32.7,50.6,,,,,,,,,Watercolor Painting
Pablo_Picasso,Pomme,2019-02-27T00:00:00,"GBP 350,000 - 450,000",991427.0,Christies,1909.0,watercolour on paper,,24.77,28.57,,,,,,,,,Watercolor Painting
Pablo_Picasso,Nu debout et faune,2008-11-05T00:00:00,"USD 200,000 - 300,000",122500.0,Christies,1906.0,watercolor on paper,,21.27,13.65,,,,,,,,,Watercolor Painting
Pablo_Picasso,Composition à la guitare,2018-10-18T00:00:00,"EUR 30,000 - 50,000",83920.0,Christies,1920.0,gouache et aquarelle sur papier,,27.2,21.5,,,,,,,,,Watercolor Painting
Pablo_Picasso,"Coupe, cruche et boîte à lait",2017-06-28T00:00:00,"GBP 250,000 - 350,000",342291.0,Christies,1906.0,watercolour on paper,,35.0,28.0,,,,,,,,,Watercolor Painting
Pablo_Picasso,Arlequin à la guitare,2008-05-07T00:00:00,"USD 400,000 - 600,000",385000.0,Christies,1917.0,watercolor on paper laid down at the edges on board,,33.7,24.8,,,,,,,,,Watercolor Painting
Pablo_Picasso,Trois baigneuses sur la plage,2018-02-28T00:00:00,"GBP 100,000 - 200,000",380935.0,Christies,1921.0,watercolour on paper,,24.13,34.29,,,,,,,,,Watercolor Painting
Pablo Picasso,,2024-04-24T21:00:00,,108756.196,sotheby's,1918.0,watercolour,1.0,,,,,,,,60000.0,80000.0,EUR,Watercolor Painting
Pablo Picasso,,2023-12-07T02:00:00,,,sotheby's,1901.0,watercolor,1.0,29.0,24.0,,,,,,400000.0,600000.0,EUR,Watercolor Painting
Pablo Picasso,,2023-05-17T08:00:00,,1512000.0,sotheby's,1922.0,watercolor,1.0,16.5,10.5,,,,,,1000000.0,1500000.0,USD,Watercolor Painting
Pablo Picasso,,2022-03-04T00:00:00,,92522.1528,sotheby's,1922.0,watercolour,1.0,23.8,17.6,,,,,,50000.0,70000.0,GBP,Watercolor Painting
Pablo Picasso,,2020-10-29T10:50:17,,1593000.0,sotheby's,1911.0,Watercolor,1.0,29.0,22.5,,,,,,1400000.0,1800000.0,USD,Watercolor Painting
Pablo Picasso,,2020-06-18T22:00:00,,,sotheby's,,watercolour,1.0,42.0,30.6,,,,,,30000.0,50000.0,GBP,Watercolor Painting
Pablo Picasso,,2020-06-19T23:36:51,,,sotheby's,1946.0,watercolour,1.0,,,,,,,,250000.0,350000.0,EUR,Watercolor Painting
Pablo Picasso,,2019-11-13T13:59:59,,5389500.0,sotheby's,,Watercolor,1.0,,,,,,,,5000000.0,7000000.0,USD,Watercolor Painting
Pablo Picasso,,2019-11-14T07:00:00,,437500.0,sotheby's,,Watercolor,1.0,,,,,,,,400000.0,600000.0,USD,Watercolor Painting
Pablo Picasso,,2019-11-14T07:00:00,,87500.0,sotheby's,,Watercolor,1.0,,,,,,,,25000.0,35000.0,USD,Watercolor Painting
Pablo Picasso,,2018-11-14T07:00:00,,75000.0,sotheby's,,Watercolor,1.0,,,,,,,,60000.0,80000.0,USD,Watercolor Painting
