artist,title,end_date,estimate_USD,price_USD,auction_site,year,artwork_type,edition,height_cm,width_cm,start_date,low_estimate,high_estimate,price,currency,low_estimate_USD,high_estimate_USD,estimateCurrency,type
Pablo Picasso,"Pismo (lettre), from Escrito (Bl. 462, Ba. 785, see C. Bks. 48)",2025-01-24T18:00:00,,7530.95,Phillips,1947.0,Etching,64.0,33.0,20.5,2025-01-23T17:00:00,2000.0,3000.0,6096.0,£,2470.78,3706.17,,Print
Pablo Picasso,"Jeune femme laissant tomber sa robe (Young Woman Dropping Her Dress), plate 172 from 374 Series (Bl. 1652, Ba. 1668)",2024-10-24T22:00:00,,6350.0,Phillips,1968.0,Aquatint,,21.0,14.6,2024-10-22T20:00:00,5000.0,7000.0,6350.0,$,5000.0,7000.0,,Print
Pablo Picasso,"Tête de femme: Madeleine, from La Suite des Saltimbanques (Woman's Head: Madeleine, from The Acrobats Suite) (Bl. 2, Ba. 3)",2024-10-24T22:00:00,,4826.0,Phillips,1905.0,Etching,250.0,11.7,8.6,2024-10-22T20:00:00,5000.0,7000.0,4826.0,$,5000.0,7000.0,,Print
Pablo Picasso,"Tête de femme: Madeleine, from La Suite des Saltimbanques (Woman's Head: Madeleine, from The Acrobats Suite) (Bl. 2, Ba. 3)",2024-10-24T22:00:00,,4826.0,Phillips,1905.0,Etching,250.0,11.7,8.6,2024-10-22T20:00:00,5000.0,7000.0,4826.0,$,5000.0,7000.0,,Print
Pablo Picasso,"Deux femmes accroupies (Two Women Crouching) (Bl. 790, M. 274)",2024-10-24T22:00:00,,8255.0,Phillips,1956.0,Lithograph,,41.0,54.3,2024-10-22T20:00:00,5000.0,7000.0,8255.0,$,5000.0,7000.0,,Print
Pablo Picasso,"Jeune femme laissant tomber sa robe (Young Woman Dropping Her Dress), plate 172 from 374 Series (Bl. 1652, Ba. 1668)",2024-10-24T22:00:00,,6350.0,Phillips,1968.0,Aquatint,,21.0,14.6,2024-10-22T20:00:00,5000.0,7000.0,6350.0,$,5000.0,7000.0,,Print
Pablo Picasso,"Colombe volant (à l'Arc-en-ciel) (Flying Dove in a Rainbow) (Bl. 712, see M. 214)",2024-10-24T22:00:00,,10795.0,Phillips,1952.0,Lithograph,,49.8,64.8,2024-10-22T20:00:00,4000.0,6000.0,10795.0,$,4000.0,6000.0,,Print
Pablo Picasso,"Le Viol II (The Rape II), plate 30 from La Suite Vollard (Bl. 180, Ba. 338)",2024-10-24T22:00:00,,6985.0,Phillips,1933.0,Etching,50.0,29.2,36.2,2024-10-22T20:00:00,4000.0,6000.0,6985.0,$,4000.0,6000.0,,Print
Pablo Picasso,"Grosse courtisane saluée par trois gentilshommes linéaires (Fat Courtesan Greeted by Three Linear Gentlemen), plate 183 from Series 347 (Bl. 1663, Ba. 1679)",2024-10-24T22:00:00,,5334.0,Phillips,1968.0,Etching,,20.6,14.6,2024-10-22T20:00:00,2000.0,3000.0,5334.0,$,2000.0,3000.0,,Print
Pablo Picasso,"Grosse courtisane saluée par trois gentilshommes linéaires (Fat Courtesan Greeted by Three Linear Gentlemen), plate 183 from Series 347 (Bl. 1663, Ba. 1679)",2024-10-24T22:00:00,,5334.0,Phillips,1968.0,Etching,,20.6,14.6,2024-10-22T20:00:00,2000.0,3000.0,5334.0,$,2000.0,3000.0,,Print
Pablo Picasso,"La femme à la fenêtre (The Woman at the Window) (Bl. 695, Ba. 891)",2024-09-20T17:00:00,,109641.26,Phillips,1952.0,Aquatint,,83.5,47.4,2024-09-19T17:00:00,50000.0,70000.0,82550.0,£,66409.0,92972.6,,Print
Pablo Picasso,"La femme à la fenêtre (The Woman at the Window) (Bl. 695, Ba. 891)",2024-09-20T17:00:00,,109641.26,Phillips,1952.0,Aquatint,,83.5,47.4,2024-09-19T17:00:00,50000.0,70000.0,82550.0,£,66409.0,92972.6,,Print
Pablo Picasso,"La femme à la fenêtre (The Woman at the Window) (Bl. 695, Ba. 891)",2024-09-20T17:00:00,,109641.26,Phillips,1952.0,Aquatint,,83.5,47.4,2024-09-19T17:00:00,50000.0,70000.0,82550.0,£,66409.0,92972.6,,Print
Pablo Picasso,"La femme à la fenêtre (The Woman at the Window) (Bl. 695, Ba. 891)",2024-09-20T17:00:00,,109641.26,Phillips,1952.0,Aquatint,,83.5,47.4,2024-09-19T17:00:00,50000.0,70000.0,82550.0,£,66409.0,92972.6,,Print
Pablo Picasso,"Taureau ailé contemplé par quatre enfants (Winged Bull Watched by Four Children), plate 13 from La Suite Vollard (Bl. 229, Ba. 444)",2024-09-20T17:00:00,,21928.25,Phillips,1934.0,Etching,260.0,23.6,29.8,2024-09-19T17:00:00,10000.0,15000.0,16510.0,£,13281.8,19922.7,,Print
Pablo Picasso,"Nu assis (Seated Nude) (Bl. 1086, Ba. 1330)",2024-09-20T17:00:00,,25301.83,Phillips,1962.0,Linocut,,34.8,26.0,2024-09-19T17:00:00,8000.0,12000.0,19050.0,£,10625.44,15938.16,,Print
Pablo Picasso,"Dans l'atelier II (In the Workshop II) (Bl. 1138, Ba. 1135)",2024-06-27T19:00:00,,5334.0,Phillips,1963.0,Etching,,22.9,32.4,2024-06-27T19:00:00,4000.0,6000.0,5334.0,$,4000.0,6000.0,,Print
Pablo Picasso,"...autre chose que de l'enfant beau (Something Other Than the Beautiful Child) (Bl. 824, Ba. 964)",2024-09-20T17:00:00,,3373.58,Phillips,1956.0,Drypoint,120.0,14.9,12.0,2024-09-19T17:00:00,2000.0,3000.0,2540.0,£,2656.36,3984.54,,Print
Pablo Picasso,"Raphaël et la Fornarina V: avec voyeur écartant le rideau (Raphaël and Fornarina V: With Voyeur Pulling Back the Curtain), plate 300 from Série 347 (Bl. 1780, Ba. 1797)",2024-09-20T17:00:00,,10964.13,Phillips,1968.0,Etching,,41.3,49.5,2024-09-19T17:00:00,3000.0,5000.0,8255.0,£,3984.54,6640.9,,Print
Pablo Picasso,"Visage de Marie-Thérèse (Face of Marie-Thérèse) (Bl. 95, Ba. 243, M. XXIII, see C. bks 16)",2024-06-27T19:00:00,,12700.0,Phillips,1928.0,Lithograph,,20.6,14.0,2024-06-27T19:00:00,5000.0,7000.0,12700.0,$,5000.0,7000.0,,Print
Pablo Picasso,"...autre chose que de l'enfant beau (Something Other Than the Beautiful Child) (Bl. 824, Ba. 964)",2024-09-20T17:00:00,,3373.58,Phillips,1956.0,Drypoint,120.0,14.9,12.0,2024-09-19T17:00:00,2000.0,3000.0,2540.0,£,2656.36,3984.54,,Print
Pablo Picasso,"Dans l'atelier II (In the Workshop II) (Bl. 1138, Ba. 1135)",2024-06-27T19:00:00,,5334.0,Phillips,1963.0,Etching,,22.9,32.4,2024-06-27T19:00:00,4000.0,6000.0,5334.0,$,4000.0,6000.0,,Print
Pablo Picasso,"Raphaël et la Fornarina V: avec voyeur écartant le rideau (Raphaël and Fornarina V: With Voyeur Pulling Back the Curtain), plate 300 from Série 347 (Bl. 1780, Ba. 1797)",2024-09-20T17:00:00,,10964.13,Phillips,1968.0,Etching,,41.3,49.5,2024-09-19T17:00:00,3000.0,5000.0,8255.0,£,3984.54,6640.9,,Print
Pablo Picasso,"Visage de Marie-Thérèse (Face of Marie-Thérèse) (Bl. 95, Ba. 243, M. XXIII, see C. bks 16)",2024-06-27T19:00:00,,12700.0,Phillips,1928.0,Lithograph,,20.6,14.0,2024-06-27T19:00:00,5000.0,7000.0,12700.0,$,5000.0,7000.0,,Print
Pablo Picasso,"Jeunesse (Youth) (Bl. 675, M. 188)",2024-06-06T13:00:00,,24374.02,Phillips,1950.0,Lithograph,1000.0,50.0,64.8,2024-06-06T13:00:00,12000.0,18000.0,19050.0,£,15353.71,23030.57,,Print
Pablo Picasso,"Raphaël et la Fornarina V: avec voyeur écartant le rideau (Raphaël and Fornarina V: With Voyeur Pulling Back the Curtain), plate 300 from Série 347 (Bl. 1780, Ba. 1797)",2024-09-20T17:00:00,,10964.13,Phillips,1968.0,Etching,,41.3,49.5,2024-09-19T17:00:00,3000.0,5000.0,8255.0,£,3984.54,6640.9,,Print
Pablo Picasso,"Homme nu avec femme ivre et jeune flûtiste (Naked Man with a Drunk Woman and Young Flautist) (Bl. 773, Ba. 949)",2024-06-06T13:00:00,,6174.75,Phillips,1955.0,Etching,,25.7,30.8,2024-06-06T13:00:00,2500.0,3500.0,4826.0,£,3198.69,4478.17,,Print
Pablo Picasso,"Sueño y mentira de Franco (The Dream and Lie of Franco) (Bl. 297-298, Ba. 615-616, C. Bks. 28)",2024-06-06T13:00:00,,9749.61,Phillips,1937.0,etching,150.0,31.7,42.1,2024-06-06T13:00:00,6000.0,8000.0,7620.0,£,7676.86,10235.81,,Print
Pablo Picasso,"Les modes changent: deux couples (Changing Fashions: Two Couples), plate 78 from Série 347 (Bl. 1556, Ba. 1572)",2024-06-06T13:00:00,,5687.27,Phillips,1968.0,Etching,,18.9,11.6,2024-06-06T13:00:00,2000.0,3000.0,4445.0,£,2558.95,3838.43,,Print
Pablo Picasso,"Raphaël et la Fornarina V: avec voyeur écartant le rideau (Raphaël and Fornarina V: With Voyeur Pulling Back the Curtain), plate 300 from Série 347 (Bl. 1780, Ba. 1797)",2024-09-20T17:00:00,,10964.13,Phillips,1968.0,Etching,,41.3,49.5,2024-09-19T17:00:00,3000.0,5000.0,8255.0,£,3984.54,6640.9,,Print
Pablo Picasso,"L'ecuyère (The Horsewoman) (Bl. 999, M. 333)",2024-06-06T13:00:00,,3899.84,Phillips,1960.0,Lithograph,1000.0,50.0,65.0,2024-06-06T13:00:00,500.0,700.0,3048.0,£,639.74,895.63,,Print
Pablo Picasso,"L'ecuyère (The Horsewoman) (Bl. 999, M. 333)",2024-06-06T13:00:00,,3899.84,Phillips,1960.0,Lithograph,1000.0,50.0,65.0,2024-06-06T13:00:00,500.0,700.0,3048.0,£,639.74,895.63,,Print
Pablo Picasso,"Homme nu avec femme ivre et jeune flûtiste (Naked Man with a Drunk Woman and Young Flautist) (Bl. 773, Ba. 949)",2024-06-06T13:00:00,,6174.75,Phillips,1955.0,Etching,,25.7,30.8,2024-06-06T13:00:00,2500.0,3500.0,4826.0,£,3198.69,4478.17,,Print
Pablo Picasso,"Sueño y mentira de Franco (The Dream and Lie of Franco) (Bl. 297-298, Ba. 615-616, C. Bks. 28)",2024-06-06T13:00:00,,9749.61,Phillips,1937.0,etching,150.0,31.7,42.1,2024-06-06T13:00:00,6000.0,8000.0,7620.0,£,7676.86,10235.81,,Print
Pablo Picasso,"Dans l'atelier II (In the Workshop II) (Bl. 1138, Ba. 1135)",2024-06-27T19:00:00,,5334.0,Phillips,1963.0,Etching,,22.9,32.4,2024-06-27T19:00:00,4000.0,6000.0,5334.0,$,4000.0,6000.0,,Print
