artist,title,end_date,low_estimate_USD,high_estimate_USD,price_USD,original_price,auction_site,year,artwork_type,edition,height_cm,width_cm,estimateCurrency
Luc Tuymans,tv set,2024-05-15T03:30:00,300000,400000,,,sotheby's,2000,oil on canvas,1,82.6,81.3,USD
Luc Tuymans,shadows,2023-10-04T01:00:00,30000,40000,48260,48260,sotheby's,1994,oil on canvas,1,58.1,39.7,USD
Luc Tuymans,untitled,2023-10-04T01:00:00,6000,8000,6350,6350,sotheby's,1989,watercolor on paper,1,27,21,USD
Luc Tuymans,"luc tuymans, landscape (seconds i)",2023-06-07T22:00:00,20000,30000,38042.2658,35560,sotheby's,2020,watercolor on paper,1,30,21,EUR
Luc Tuymans,landscape (seconds i),2022-12-07T03:00:00,20000,30000,,,sotheby's,2020,watercolor on paper,1,30,21,EUR
Luc Tuymans,altar,2021-07-23T23:00:00,2000,3000,1890,1890,sotheby's,,,1,,,USD
Luc Tuymans,untitled,2021-05-26T21:00:00,8000,12000,28514.0419,20160,sotheby's,,,1,25,16,GBP
Luc Tuymans,hut,2021-05-26T21:00:00,35000,45000,71285.1048,50400,sotheby's,,,1,37,27,GBP
Luc Tuymans,luc tuymans | untitled,2020-10-22T22:00:00,150000,200000,248194.422,189000,sotheby's,,,1,100.3,83.8,GBP
Luc Tuymans,luc tuymans | untitled (reuter),2020-10-22T22:00:00,10000,15000,,,sotheby's,1986,,1,21,27,GBP
Luc Tuymans,luc tuymans | untitled,2020-10-22T22:00:00,6000,8000,9927.77688,7560,sotheby's,,,1,27,21,GBP
Luc Tuymans,luc tuymans | untitled,2020-10-22T22:00:00,10000,15000,13237.0358,10080,sotheby's,,,1,21,27,GBP
Luc Tuymans,luc tuymans | premonition vi (series ii),2020-10-07T01:00:00,4000,6000,3024,3024,sotheby's,2003,,1,53.3,44.1,USD
Luc Tuymans,luc tuymans | drumset,2020-04-21T22:00:00,20000,30000,93320.7,75000,sotheby's,,,1,37.2,27.5,GBP
Luc Tuymans,allo! iii,2019-10-06T23:00:00,5600000,7600000,909840.93,7135000,sotheby's,,oil on canvas,1,126.9,175.1,HKD
Luc Tuymans,versailles,2019-06-27T06:00:00,600000,800000,933333.135,735000,sotheby's,,oil on canvas_,1,126.4,198.1,GBP
Luc Tuymans,the passion,2018-11-20T22:00:00,12000,18000,12056.0156,9375,sotheby's,,photo negative collage,1,28,140,GBP
Luc Tuymans,"untitled,_1980",2018-11-20T22:00:00,6000,8000,,,sotheby's,,,1,28,140,USD
Luc Tuymans,untitled,2004-06-24T18:30:13,5000,7000,18601.5972,10200,sotheby's,,gouache on card,1,21,15,GBP
Luc Tuymans,reuntgen (x-ray),2004-06-24T18:30:13,10000,15000,30637.9248,16800,sotheby's,1998,oil on paper_laid down on card_mounted on board,1,40,29.8,GBP
Luc Tuymans,the temples,2017-09-14T22:00:00,10000,15000,31364.3213,23750,sotheby's,1996,"colour etching with aquatint on paper, in 8 parts",1,80,60,GBP
Luc Tuymans,focus,2007-05-16T08:00:19,500000,700000,480000,480000,sotheby's,,oil on canvas,1,146.7,75.6,USD
Luc Tuymans,temple,2010-04-30T23:00:00,8000,12000,11875,11875,sotheby's,,etchings,1,,,USD
Luc Tuymans,la correspondance,2010-06-02T02:00:00,10000,15000,15910.7,13000,sotheby's,,"lambda-print on aluminium, edition 2 / 3",1,75,75,EUR
Luc Tuymans,room,2006-10-18T20:00:28,4000,6000,9412.11432,5040,sotheby's,,pencil and watercolour on paper,1,20.3,27.3,GBP
Luc Tuymans,untitled,2006-05-11T23:15:52,10000,15000,12000,12000,sotheby's,,"ink, gouache and graphite on paper, in_2 parts",1,27,21,USD
Luc Tuymans,(i)-(ii) untitled(iii) cindy,2006-06-22T22:30:50,12000,15000,26328.7728,14400,sotheby's,,(i)-(ii) ink on paper(iii) gouache on paper,1,21,15,GBP
Luc Tuymans,untitled,2006-05-24T02:00:09,2000,3000,3985.488,3120,sotheby's,,,1,,,EUR
